agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_r_max,param_agent_target_update_freq,param_agent_use_vmax,param_agent_v_max,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
NFQAgent,sweep_c51,10,0.9991959393024444,0.00028712783187415553,9.079779283482243e-05,0.998676598072052,0.999611794948578,0.9991817474365234,0.9990260452032089,0.9994171112775803,NFQAgent,0.99,182112.0,0.105156,0.384965,,,0.000120464,5.54423,,6.0,,,,,,8192,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,3,0,1000000,2,True,8
DQNAgent,sweep_c3,10,0.9983914017677307,0.0004873839254809118,0.00015412432994734573,0.9972981810569764,0.9987657070159912,0.9985804259777069,0.9982915073633194,0.9987146705389023,DQNAgent,0.99,481244.0,0.227344,0.343596,,,0.00119563,1.48975,,,,64.0,,,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,512,1,1,0,1000000,1,True,8192
DRMAgent,sweep_c58,10,0.9966245591640472,0.0006732490740874592,0.0002129000506715818,0.9954829216003418,0.997575581073761,0.9966700077056885,0.9961794465780258,0.9970103800296783,DRMAgent,0.99,,,,5.0,239.0,0.000191701,1.61206,,,1.0,64.0,True,1.0,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,16,1,8,0,1000000,1,True,1024
DQNAgent,sweep_c51,10,0.9956307113170624,0.0005536450598847304,0.00017507794045360675,0.9948835968971252,0.9967746138572692,0.995545893907547,0.9953623265028,0.9958956241607667,DQNAgent,0.99,491604.0,0.230784,0.696209,,,0.000326995,6.29305,,,,128.0,,,,2048,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,128,1,5,0,1000000,4,True,4096
DRMAgent,sweep_c62,10,0.9955340027809143,0.0014906060277076198,0.00047137101415321343,0.9926445484161376,0.9972808957099916,0.9955568611621857,0.9950550496578218,0.996818020939827,DRMAgent,0.99,,,,5.0,201.0,0.000421108,6.88651,,,1.0,512.0,True,1.0,,2048,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,16,1,2,0,1000000,1,True,16
DQNAgent,sweep_c75,10,0.9949237048625946,0.0005048206954529141,0.00015963832076214152,0.9942068457603456,0.9956327080726624,0.9949688911437988,0.9945438355207443,0.9953345209360123,DQNAgent,0.99,308510.0,0.24465,0.437336,,,1.99352e-05,13.5967,,,,64.0,,,,1024,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,32,1,8,0,1000000,2,True,32
NFQAgent,sweep_c27,10,0.9945061504840851,0.0024044213195405476,0.0007603447824415649,0.9908615350723268,0.998626172542572,0.993994414806366,0.9934974908828735,0.9947173893451691,NFQAgent,0.99,377700.0,0.146679,0.533386,,,7.78939e-06,1.85876,,19.0,,,,,,1024,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,0,0,1000000,4,True,512
DQNAgent,sweep_c25,10,0.9944670021533966,0.0021079298898451556,0.0006665859599858528,0.9907272458076476,0.9969300627708436,0.9947225749492645,0.9937631189823151,0.9960970133543013,DQNAgent,0.99,339134.0,0.161143,0.757497,,,3.26645e-05,1.81513,,,,2048.0,,,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,9,0,1000000,1,True,1
DQNAgent,sweep_c52,10,0.9944158911705017,0.0011651217468821103,0.00036844384715416543,0.9931098818778992,0.9963530898094176,0.9942796528339386,0.9935241192579269,0.9948824197053909,DQNAgent,0.99,482968.0,0.0110793,0.780493,,,0.000433531,10.8659,,,,2048.0,,,,2048,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,4,0,1000000,2,True,32
DQNAgent,sweep_c1,10,0.9937816679477691,0.00042576636967708344,0.00013463914792808326,0.993090271949768,0.9944443702697754,0.9938702583312988,0.9936784505844116,0.9939723908901215,DQNAgent,0.99,420117.0,0.0138063,0.397822,,,6.63965e-06,14.8102,,,,1024.0,,,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,8,0,1000000,2,True,8192
